train_no,train_name,route_type,date,season,station,sched_arr,sched_dep,actual_arr,actual_dep,delay_min,causes
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,ASN,19:03,19:08,19:04,19:09,0.8,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,DHN,20:03,20:08,20:03,20:08,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,GAYA,22:23,22:28,22:23,22:28,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,DDU,00:08,00:18,00:08,00:18,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,CNB,04:33,04:38,04:37,04:42,3.6,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,NDLS,10:00,,10:28,,28.4,weather
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,BCT,,17:00,,17:00,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,BRC,21:24,21:29,21:24,21:29,0.0,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,RTM,23:38,23:40,23:54,23:56,16.5,weather
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,KOTA,02:00,02:05,02:19,02:24,18.9,
12951,Mumbai Rajdhani Express,double_line_trunk,2024-01-01,winter_fog,NDLS,08:35,,09:02,,26.5,
10103,Mandovi Express,single_line_coastal,2024-01-01,winter_fog,CSMT,,07:10,,07:10,0.0,
10103,Mandovi Express,single_line_coastal,2024-01-01,winter_fog,PNVL,08:12,08:15,08:14,08:17,2.3,
10103,Mandovi Express,single_line_coastal,2024-01-01,winter_fog,ROHA,09:23,09:25,09:34,09:36,10.7,temporary_speed_restriction
10103,Mandovi Express,single_line_coastal,2024-01-01,winter_fog,RN,13:05,13:10,13:20,13:25,15.4,temporary_speed_restriction
10103,Mandovi Express,single_line_coastal,2024-01-01,winter_fog,MAO,18:10,,18:21,,10.5,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-01,winter_fog,NDLS,,07:20,,07:34,14.2,preceding_train_connection
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-01,winter_fog,UMB,09:40,09:42,10:14,10:16,34.0,temporary_speed_restriction
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-01,winter_fog,LDH,10:52,10:54,11:15,11:17,22.8,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-01,winter_fog,JUC,11:28,11:30,11:44,11:46,16.2,
12013,Amritsar Shatabdi Express,double_line_trunk,2024-01-01,winter_fog,ASR,12:40,,13:05,,25.0,signal_halt
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,HWH,,16:50,,16:50,0.0,
12301,Howrah Rajdhani Express,double_line_trunk,2024-01-02,winter_fog,ASN,19:03,19:08,19:21,19:26,17.9,temporary_speed_restriction
